event,table,Date,Time,home_team,away_team,home_score,away_score,home_seed,away_seed
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,4:30 PM,North Carolina (3),Illinois (19),15,12,3,19
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,8:30 AM,Oregon (15),Illinois (19),15,7,15,19
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,10:30 AM,North Carolina (3),Maryland (10),15,11,3,10
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,10:30 AM,Florida State (6),Illinois (19),15,11,6,19
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,2:30 PM,North Carolina (3),Oregon (15),5,15,3,15
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,2:30 PM,Florida State (6),Maryland (10),15,11,6,10
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,8:30 AM,Colorado (5),California-Santa Barbara (16),14,12,5,16
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,8:30 AM,Massachusetts (9),Cornell (20),15,7,9,20
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,12:30 PM,North Carolina-Wilmington (4),Cornell (20),14,10,4,20
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,12:30 PM,Massachusetts (9),California-Santa Barbara (16),15,7,9,16
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,4:30 PM,North Carolina-Wilmington (4),Colorado (5),13,14,4,5
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,8:30 AM,North Carolina-Wilmington (4),Massachusetts (9),9,15,4,9
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,8:30 AM,California-Santa Barbara (16),Cornell (20),15,10,16,20
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,10:30 AM,Colorado (5),Cornell (20),15,11,5,20
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,12:30 PM,North Carolina-Wilmington (4),California-Santa Barbara (16),14,13,4,16
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,12:30 PM,Colorado (5),Massachusetts (9),12,15,5,9
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,10:30 AM,Massachusetts (1),Georgia (8),11,15,1,8
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,10:30 AM,Texas A&M (12),Washington (13),15,13,12,13
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,2:30 PM,Georgia (8),Washington (13),14,11,8,13
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,2:30 PM,Texas A&M (12),Cal Poly-SLO (17),11,13,12,17
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,4:30 PM,Massachusetts (1),Cal Poly-SLO (17),15,8,1,17
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,8:30 AM,Massachusetts (1),Texas A&M (12),15,9,1,12
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,8:30 AM,Georgia (8),Cal Poly-SLO (17),15,13,8,17
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,12:30 PM,Massachusetts (1),Washington (13),14,13,1,13
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,12:30 PM,Georgia (8),Texas A&M (12),2,15,8,12
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,2:30 PM,Washington (13),Cal Poly-SLO (17),15,14,13,17
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,8:30 AM,Oregon (2),Case Western Reserve (18),14,12,2,18
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,8:30 AM,North Carolina (7),Florida State (14),16,14,7,14
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,12:30 PM,Oregon (2),North Carolina (7),14,12,2,7
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,12:30 PM,Colorado (11),Florida State (14),15,12,11,14
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,4:30 PM,Colorado (11),Case Western Reserve (18),15,11,11,18
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,10:30 AM,Oregon (2),Colorado (11),9,15,2,11
