Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
62,Ohio ,1440,College,Men,Division I,Athens,OH,17,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
63,Franciscan ,1427,College,Men,Division III,Steubenville,OH,32,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
64,New Hampshire ,1422,College,Men,Division I,Durham,NH,24,3,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
65,South Carolina ,1420,College,Men,Division I,Columbia,SC,22,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
66,California-Davis ,1419,College,Men,Division I,Davis,CA,17,17,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
67,Wisconsin-Milwaukee ,1416,College,Men,Division I,Milwaukee,WI,18,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
68,Cornell ,1402,College,Men,Division I,Ithaca,NY,18,6,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
69,Chico State ,1396,College,Men,Division I,Chico,CA,16,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
70,Richmond ,1393,College,Men,Division III,Richmond,VA,29,6,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
71,Chicago ,1393,College,Men,Division I,Chicago,IL,20,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
72,Iowa State ,1392,College,Men,Division I,Ames,IA,20,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
73,Air Force ,1391,College,Men,Division III,USAF Academy,CO,34,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
74,Luther ,1383,College,Men,Division I,Decorah,IA,21,18,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
75,Cincinnati ,1380,College,Men,Division I,Cincinnati,OH,13,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
76,Pennsylvania ,1376,College,Men,Division I,Philadelphia,PA,17,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
77,George Washington ,1376,College,Men,Division I,Washington,DC,20,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
78,Lehigh ,1372,College,Men,Division I,Bethlehem,PA,20,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
79,Carleton College-GOP ,1370,College,Men,Division III,Northfield,MN,31,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
80,St John's ,1361,College,Men,Division III,Collegeville,MN,19,3,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
81,Whitman ,1360,College,Men,Division I,Walla Walla,WA,14,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
82,Georgia Southern ,1357,College,Men,Division I,"Statesboro, GA",GA,18,16,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
83,William & Mary ,1356,College,Men,Division I,Williamsburg,VA,16,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
84,Washington University ,1356,College,Men,Division I,St. Louis,MO,15,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
85,Texas Christian ,1356,College,Men,Division I,Fort Worth,TX,20,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
86,California ,1353,College,Men,Division I,Berkeley,CA,14,20,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
87,Arizona ,1348,College,Men,Division I,Tucson,AZ,14,8,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
88,Colorado College ,1346,College,Men,Division III,Colorado Springs,CO,23,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
89,Knox ,1346,College,Men,Division III,Galesburg ,IL,18,6,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
90,Indiana Wesleyan ,1332,College,Men,Division III,Greenwood,IN,24,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
91,Santa Clara ,1331,College,Men,Division I,Santa Clara,CA,15,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
92,Baylor ,1323,College,Men,Division I,Waco,TX,29,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
93,Tennessee-Chattanooga ,1322,College,Men,Division I,Chattanooga,TN,11,8,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
94,Alabama-Birmingham ,1309,College,Men,Division I,Birmingham,AL,15,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
95,Clemson ,1309,College,Men,Division I,Clemson,SC,18,18,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
96,Claremont ,1303,College,Men,Division III,Claremont ,CA,13,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
97,Valparaiso ,1302,College,Men,Division III,Valparaiso,IN,28,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
98,Williams ,1301,College,Men,Division III,Williamstown,MA,23,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
99,Arizona State ,1299,College,Men,Division I,Tempe,AZ,9,17,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
100,North Carolina-Asheville ,1296,College,Men,Division III,Asheville,NC,24,15,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
101,Davidson ,1279,College,Men,Division III,Davidson,NC,19,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
102,John Brown ,1278,College,Men,Division III,Siloam Springs,AR,18,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
103,Northeastern ,1256,College,Men,Division I,Boston,MA,19,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
104,American ,1250,College,Men,Division I,Washington,DC,17,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
105,Vermont ,1249,College,Men,Division I,Burlington,VT,20,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
106,Texas State ,1249,College,Men,Division I,San Marcos,TX,18,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
