,event,table,Date,Time,home_team,away_team,home_score,away_score
8,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Sat 5/27,2:30 PM,Notre Dame (7),Oregon (11),8,15
9,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool B Schedule & Scores,Sat 5/27,2:30 PM,Dartmouth (2),Florida (14),15,2
0,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Fri 5/26,10:30 AM,UCLA (6),Michigan (15),13,11
1,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Fri 5/26,10:30 AM,Tufts (10),California-San Diego (19),11,8
2,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Fri 5/26,2:30 PM,Virginia (3),UCLA (6),10,12
3,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Fri 5/26,2:30 PM,Tufts (10),Michigan (15),9,15
4,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Fri 5/26,4:30 PM,Virginia (3),California-San Diego (19),14,9
5,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Sat 5/27,8:30 AM,Michigan (15),California-San Diego (19),13,10
6,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Sat 5/27,10:30 AM,Virginia (3),Tufts (10),12,10
7,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Sat 5/27,10:30 AM,UCLA (6),California-San Diego (19),15,12
8,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Sat 5/27,2:30 PM,Virginia (3),Michigan (15),14,12
9,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool C Schedule & Scores,Sat 5/27,2:30 PM,UCLA (6),Tufts (10),15,12
0,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Fri 5/26,8:30 AM,British Columbia (5),North Carolina (16),15,8
1,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Fri 5/26,8:30 AM,California (9),Connecticut (20),15,3
2,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Fri 5/26,12:30 PM,Texas (4),Connecticut (20),15,6
3,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Fri 5/26,12:30 PM,California (9),North Carolina (16),14,12
4,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Fri 5/26,4:30 PM,Texas (4),British Columbia (5),13,14
5,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Sat 5/27,8:30 AM,Texas (4),California (9),15,9
6,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Sat 5/27,8:30 AM,North Carolina (16),Connecticut (20),15,7
7,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Sat 5/27,10:30 AM,British Columbia (5),Connecticut (20),15,3
8,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Sat 5/27,12:30 PM,Texas (4),North Carolina (16),15,8
9,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,Pool D Schedule & Scores,Sat 5/27,12:30 PM,British Columbia (5),California (9),15,5
