,event,type,winner_team,winner_score,loser_team,loser_score
43,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,North Carolina (16),Pittsburgh (13),15,9
44,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,California-San Diego (19),Florida (14),14,9
45,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,12,15,Stanford (1),Pittsburgh (13)
46,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,12,13,Pittsburgh (13),Ohio State (17)
47,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,10,15,Dartmouth (2),Oregon (11)
48,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,8,15,Notre Dame (7),Oregon (11)
49,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,10,12,Virginia (3),UCLA (6)
50,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,9,15,Tufts (10),Michigan (15)
51,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,pool,13,14,Texas (4),British Columbia (5)
52,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,8,14,Stanford (1),Dartmouth (2)
53,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,10,15,UCLA (6),Texas (4)
54,2017-USA-Ultimate-College-Championships/schedule/Women/CollegeWomen/,bracket,11,15,Oregon (11),Colorado (8)
